X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.03492298,38.90365725,30373283,38.903649,-77.034918,15th & L St NW,classic,348,active,2021/11/07 19:25:28+00,21,0,1,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"KEY,CREDITCARD",42,2021/11/07 23:02:59+00,,"Washington, DC"
-77.03973902,38.89828672,30373284,38.898283,-77.039732,17th & G St NW,classic,349,active,2021/11/07 20:49:58+00,12,0,19,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,31,"KEY,CREDITCARD",42,2021/11/07 23:02:59+00,,"Washington, DC"
-77.03449576,38.99765872,30373285,38.997653,-77.034499,Spring St & 2nd Ave,classic,350,active,2021/11/07 04:29:25+00,13,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",44,2021/11/07 23:02:59+00,,"Montgomery County, MD (South)"
-77.041834,38.91265431,30373286,38.912648,-77.041834,18th & R St NW,classic,351,active,2021/11/07 22:52:59+00,5,0,9,2,5,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/11/07 23:02:59+00,,"Washington, DC"
-77.063279,38.85926098,30373287,38.859254,-77.063275,Joyce St & 16th St S,classic,352,active,2021/11/07 20:31:20+00,5,0,10,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-76.9970738,38.90791437,30373288,38.907908,-76.99707,Union Market,classic,353,active,2021/11/07 22:16:50+00,7,0,14,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"KEY,CREDITCARD",42,2021/11/07 23:02:59+00,,"Washington, DC"
-77.10456938,38.89646302,30373289,38.896456,-77.104562,Langston Blvd & N Monroe St,classic,354,active,2021/11/07 18:51:59+00,11,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.36650183,38.94149939,30373290,38.941496,-77.366499,South Gate Community Center,classic,689,active,2021/11/07 04:54:37+00,1,0,11,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,12,"KEY,CREDITCARD",104,2021/11/07 23:02:59+00,,"Fairfax, VA"
-77.35345468,38.97850974,30373291,38.978503,-77.353454,Lake Newport Rd and Autumn Ridge Cir,classic,690,active,2021/11/07 04:54:35+00,11,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,12,"KEY,CREDITCARD",104,2021/11/07 23:02:59+00,,"Fairfax, VA"
-77.33165401,38.93392834,30373292,38.933923,-77.331653,Ridge Heights and Owl Cove Ln,classic,691,active,2021/11/07 18:16:42+00,2,0,10,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,12,"KEY,CREDITCARD",104,2021/11/07 23:02:59+00,,"Fairfax, VA"
